stuId	tag	university	major	majorCategory
7a5134qkDV		早稲田大学	国際教養学部	文系
UdECcSojKb		昭和女子大学	人間文化学部日本語日本文学科	文系
TWvPfI5oRx		成安造形大学	芸術学部	その他
gBK7nuyPsF	ホテル・レジャー	明治学院大学	国際	文系
Yno4G7TgQq		立教	文学部	文系
v3qcD1dRbE		慶應義塾大学	経済学部経済学科	文系
6ElB4TJ01F	保険,流通・小売,IT,アパレル,広告,人材・教育,出版・印刷	國學院大学	経済学部経済学科	理系
bp3AAH4l3n	商社,コンサルティング,広告,マスコミ,IT,ゲーム,ソフトウェア	明治大学	文学部文学科	文系
evXC0T6Lfh		高千穂大学	経営学部経営学科	文系
oGunVBLQSb	アパレル	國學院大学	文学部哲学科	文系
MXiEAQJyd9	IT,人材・教育,運輸・物流,旅行,広告	明治大学	経営学部経営学科	文系
ABRErpQ7mR		神奈川大学	経営学部国際経営学科	文系
wiC3i4lKRI		多摩美術大学	美術学部芸術学科	文系
mirbKkFVEN		拓殖大学	商学部会計学科	文系
2oRndpzFHT		早稲田大学	文化構想学部	文系
pJWUZx8hLi	食品・飲料,サービス,不動産,旅行,商社,流通・小売,コンサルティング,広告,運輸・物流,農林・水産,住宅・建設	大阪市立大学	商学部	文系
IYEQbhFsOd	コンサルティング,広告,商社,人材・教育,流通・小売,不動産,マスコミ,出版・印刷,クレジットカード,証券,運輸・物流	神奈川大学	経済学部現代ビジネス	文系
4GJTm1dQLk		大妻女子大学	社会情報楽譜情報デザイン学科	文系
1NDvWCiCxj		専修大学	法学部法律学科	文系
1AxAixEp19	商社,人材・教育,コンサルティング	立命館大学	政策科学部政策科学科	文系
toPm8L0fby		国際教養大学	国際教養学部グローバルスタディーズ課程	文系
UMqvmifLJJ		名古屋大学	情報文化学部社会システム情報学科	文系
wdDlA1bL0y		文教大学	国際学部国際理解学科	文系
8n9QX3Y2Kr		上智大学	経済学部経済学科	文系
55yzADcyoD		明治学院大学	経済学部経営学科	文系
bEN0mg2eQr		日本大学	芸術学部	その他
wvRdJGySjF		中央大学	経済学部経済学科	文系
rotKk9bNV4		帝京大学	文学部史学科	文系
iCCEeZvIeA		早稲田大学	社会科学部	文系
pAF0RRqBqC		早稲田大学	商学部	文系
rLbnp6CnZ9	人材・教育	成蹊大学	法学部政治学科	文系
BoWA2vE2Kk	アパレル,化粧品・医薬,旅行,人材・教育,広告,出版・印刷	青山学院大学	地球社会共生学部 地球社会共生学科	文系
epIg9UlNAM		立命館大学	経済学部経済学科	文系
d0v104h2Mn		立正大学	経済学部経済学科	文系
FAtEytK1jO		近畿大学	経済学部	文系
y1BolhfFBI		中央大学	経済学部経済学科	文系
PXUBnCnAhz		大正大学	表現学部表現文化学科	文系
aAkFjwLDcI	IT,コンサルティング,広告	東洋大学	総合情報学部総合情報学科	理系
